imo,position_dt_tm,latitude,longitude
9632179,2019-01-15 09:44:27+00,51.87373352,2.731333256
9595321,2019-01-15 09:43:13+00,17.98500061,-63.13596725
9632179,2019-01-15 09:35:27+00,51.84209824,2.688316584
9595321,2019-01-15 09:30:53+00,17.96178246,-63.16725159
9632179,2019-01-15 09:28:20+00,51.81665039,2.655233383
9632179,2019-01-15 09:18:49+00,51.78310013,2.610199928
9595321,2019-01-15 09:12:18+00,17.92480087,-63.21278381
9632179,2019-01-15 09:10:04+00,51.75231552,2.567083359
9595321,2019-01-15 09:03:31+00,17.90974998,-63.23529816
9632179,2019-01-15 08:59:27+00,51.71606827,2.51636672
